
! Data file for `tsp.mos'
! data rigged to demonstrate violated sub-tour

N_COUNTIES: 33
TOWN_NAMES: ["Armagh" "Ballymena" "Carlow" "Carrick-on-Shannon" "Castlebar" "Cavan" "Coleraine" "Cork" "Downpatrick" "Dublin" "Dundalk" "Dungarvan" "Ennis" "Enniskillen" "Galway" "Kilkenny" "Lifford" "Limerick" "Longford" "Monaghan" "Mullingar" "Naas" "Navan" "Nenagh" "Omagh" "Portlaoise" "Roscommon" "Sligo" "Swords" "Tralee" "Tullamore" "Wexford" "Wicklow"]
DIST_MATRIX: 
[0.0 62.05 169.24 103.59 180.29 59.13 86.94 298.77 60.76 114.12 42.32 258.89 227.18 63.4 198.16 192.5 75.84 228.08 101.62 23.34 101.99 125.54 78.19 194.0 50.56 152.45 124.16 118.47 103.37 307.03 131.55 224.09 157.36
62.05 0.0 229.49 155.24 224.77 118.73 38.5 360.78 69.83 168.41 96.73 320.48 285.96 104.51 253.31 253.75 77.2 288.84 160.03 81.57 163.95 184.44 138.04 255.38 72.45 214.25 178.07 155.84 156.69 366.0 193.56 281.23 209.98
169.24 229.49 0.0 144.93 192.84 128.98 255.76 148.3 184.27 72.63 133.72 94.72 137.91 173.7 149.76 29.11 224.77 115.62 114.28 157.0 81.2 46.46 91.45 84.84 197.27 32.75 135.51 189.65 83.68 197.13 61.44 63.97 61.73
103.59 155.24 144.93 0.0 79.32 51.54 160.65 229.18 160.1 137.26 109.98 208.08 135.85 53.28 98.55 153.95 106.03 146.45 30.89 80.3 67.73 123.87 97.03 120.33 88.3 113.96 23.85 44.75 134.29 214.89 84.05 208.89 172.4
180.29 224.77 192.84 79.32 0.0 130.83 220.93 224.13 238.66 207.37 189.23 225.29 113.71 120.83 66.7 190.4 159.48 138.95 99.14 157.53 133.41 187.35 171.82 131.71 152.71 160.24 67.76 70.7 206.86 178.12 134.8 252.91 235.72
59.13 118.73 128.98 51.54 130.83 0.0 134.82 244.38 110.26 97.64 58.44 210.33 168.1 46.17 139.87 147.0 95.92 170.13 42.57 37.2 50.14 94.02 53.9 137.16 69.03 104.87 67.9 83.55 91.61 248.02 78.94 190.53 138.32
86.94 38.5 255.76 160.65 220.93 134.82 0.0 379.15 108.1 199.84 127.18 343.52 295.84 107.38 258.79 278.02 62.05 302.58 172.34 100.08 183.79 212.47 165.09 271.21 72.36 236.97 184.45 150.24 188.56 375.38 213.28 310.95 242.51
298.77 360.78 148.3 229.18 224.13 244.38 379.15 0.0 327.33 220.47 271.85 63.16 110.99 277.82 157.44 119.19 332.93 86.25 208.68 280.34 196.83 192.01 228.68 109.27 310.14 149.65 207.47 264.45 230.91 92.73 167.22 146.44 204.6
60.76 69.83 184.27 160.1 238.66 110.26 108.1 327.33 0.0 114.5 58.04 278.82 271.45 124.13 248.78 211.77 127.01 266.76 151.16 81.73 138.66 137.86 99.22 230.78 107.22 177.74 178.15 179.07 102.47 349.6 165.25 226.83 151.35
114.12 168.41 72.63 137.26 207.37 97.64 199.84 220.47 114.5 0.0 72.66 166.92 190.4 142.41 185.87 101.54 183.13 175.64 109.58 110.22 73.98 30.15 43.86 140.04 154.71 77.6 140.13 178.15 12.08 260.24 82.28 113.38 43.45
