
! Data file for `tsp.mos'
! data rigged to demonstrate violated sub-tour

N_COUNTIES: 10
TOWN_NAMES: ['Waterford City, Waterford' 'Bangor, North Down' 'Newtownabbey, Antrim' 'Lisburn, Antrim Down' 'Galway City, Galway' 'Derry, Londonderry' 'Limerick City, Limerick' 'Cork City, Cork' 'Belfast, Antrim Down' 'Dublin, Dublin']
DIST_MATRIX: [
0.0 282.5445 280.0209 258.2464 172.5011 304.4628 112.5107 102.2552 279.4418 133.9509
282.5445 0.0 19.0921 30.2318 269.3464 111.4521 294.2723 358.8299 35.8653 149.8867
280.0209 19.0921 0.0 21.7752 255.9913 92.7044 284.6444 352.1859 16.7785 149.6557
258.2464 30.2318 21.7752 0.0 239.1294 97.6941 264.8084 331.0724 26.7317 128.138
172.5011 269.3464 255.9913 239.1294 0.0 223.0174 72.7791 157.431 245.3315 185.8628
304.4628 111.4521 92.7044 97.6941 223.0174 0.0 272.888 353.1521 76.2361 195.2858
112.5107 294.2723 284.6444 264.8084 72.7791 272.888 0.0 86.2505 277.5188 175.645
102.2552 358.8299 352.1859 331.0724 157.431 353.1521 86.2505 0.0 347.6658 220.4714
279.4418 35.8653 16.7785 26.7317 245.3315 76.2361 277.5188 347.6658 0.0 152.0202
133.9509 149.8867 149.6557 128.138 185.8628 195.2858 175.645 220.4714 152.0202 0.0
];

